"","ulsan_answer.area","ulsan_answer.year","ulsan_answer.num","ulsan_answer.mon","ulsan_answer.day","ulsan_answer.hour","ulsan_answer.min","ulsan_answer.lat","ulsan_answer.lon"
"1","ULSAN",2021,1,2,15,18,41,"N35.431217","E129.463167"
"2","ULSAN",2021,2,2,21,14,59,"N35.453320","E129.460868"
"3","ULSAN",2021,3,2,21,21,58,"N35.450960","E129.451685"
"4","ULSAN",2021,4,2,26,10,5,"N35.464458","E129.437290"
"5","ULSAN",2021,5,2,26,14,29,"N35.427322","E129.438455"
"6","ULSAN",2021,6,2,26,16,19,"N35.448542","E129.438485"
"7","ULSAN",2021,7,2,27,0,3,"N35.456850","E129.439483"
"8","ULSAN",2021,8,2,27,0,38,"N35.461043","E129.429397"
"9","ULSAN",2021,9,2,27,0,2,"N35.462537","E129.415427"
"10","ULSAN",2021,10,2,27,2,10,"N35.448877","E129.423228"
"11","ULSAN",2021,11,2,27,1,13,"N35.459563","E129.410143"
"12","ULSAN",2021,12,2,27,2,25,"N35.421070","E129.462895"
"13","ULSAN",2021,13,2,27,1,47,"N35.452527","E129.409108"
"14","ULSAN",2021,14,3,1,17,16,"N35.496333","E129.401967"
"15","ULSAN",2021,15,3,1,17,59,"N35.480635","E129.399633"
"16","ULSAN",2021,16,3,1,18,44,"N35.449678","E129.447257"
"17","ULSAN",2021,17,3,1,18,44,"N35.440753","E129.424978"
"18","ULSAN",2021,18,3,1,19,16,"N35.402000","E129.444633"
"19","ULSAN",2021,19,3,1,19,24,"N35.416635","E129.437163"
"20","ULSAN",2021,20,3,1,19,23,"N35.446283","E129.455950"
"21","ULSAN",2021,21,3,1,19,30,"N35.438783","E129.463822"
"22","ULSAN",2021,22,3,1,19,35,"N35.434817","E129.454583"
"23","ULSAN",2021,23,3,1,19,59,"N35.443700","E129.440533"
"24","ULSAN",2021,24,3,2,1,24,"N35.426643","E129.447577"
"25","ULSAN",2021,25,3,6,7,43,"N35.436620","E129.435625"
"26","ULSAN",2021,26,3,6,8,0,"N35.406183","E129.444783"
"27","ULSAN",2021,27,3,6,11,38,"N35.426970","E129.439212"
"28","ULSAN",2021,28,3,6,15,20,"N35.429710","E129.453162"
"29","ULSAN",2021,29,3,6,15,59,"N35.438700","E129.424218"
"30","ULSAN",2021,30,3,8,15,32,"N35.448583","E129.441042"
"31","ULSAN",2021,31,3,13,1,59,"N35.426018","E129.453168"
"32","ULSAN",2021,32,3,28,3,30,"N35.451617","E129.459750"
"33","ULSAN",2021,33,3,28,3,29,"N35.443090","E129.465102"
"34","ULSAN",2021,34,3,28,3,28,"N35.412825","E129.470320"
"35","ULSAN",2021,35,3,28,3,30,"N35.411450","E129.436283"
"36","ULSAN",2021,36,4,4,6,57,"N35.440792","E129.460673"
"37","ULSAN",2021,37,4,4,6,58,"N35.444302","E129.445333"
"38","ULSAN",2021,38,4,4,6,20,"N35.407602","E129.459547"
"39","ULSAN",2021,39,4,4,7,38,"N35.427583","E129.443650"
"40","ULSAN",2021,40,4,4,14,49,"N35.445350","E129.436767"
"41","ULSAN",2021,41,4,4,17,48,"N35.416833","E129.435833"
"42","ULSAN",2021,42,4,4,16,27,"N35.437733","E129.427767"
"43","ULSAN",2021,43,4,9,16,38,"N35.425217","E129.439770"
"44","ULSAN",2021,44,4,9,16,15,"N35.420690","E129.434073"
"45","ULSAN",2021,45,4,12,21,42,"N35.445317","E129.449450"
"46","ULSAN",2021,46,4,12,21,59,"N35.459295","E129.442782"
"47","ULSAN",2021,47,4,12,23,19,"N35.458100","E129.432033"
"48","ULSAN",2021,48,4,12,23,19,"N35.435408","E129.472505"
"49","ULSAN",2021,49,4,24,12,5,"N35.439233","E129.442483"
"50","ULSAN",2021,50,4,23,19,17,"N35.386153","E129.452192"
"51","ULSAN",2021,51,5,4,1,49,"N35.482632","E129.400922"
"52","ULSAN",2021,52,5,4,1,48,"N35.427925","E129.451828"
"53","ULSAN",2021,53,5,5,2,11,"N35.442898","E129.456333"
"54","ULSAN",2021,54,5,5,1,39,"N35.465975","E129.425308"
"55","ULSAN",2021,55,5,5,1,53,"N35.452085","E129.458522"
"56","ULSAN",2021,56,5,5,2,6,"N35.447893","E129.439665"
"57","ULSAN",2021,57,5,8,16,21,"N35.397088","E129.459102"
"58","ULSAN",2021,58,7,4,1,48,"N35.433817","E129.439233"
"59","ULSAN",2021,59,7,4,1,58,"N35.442397","E129.452455"
"60","ULSAN",2021,60,7,4,2,9,"N35.418767","E129.441208"
"61","ULSAN",2021,61,7,4,2,58,"N35.433133","E129.468600"
"62","ULSAN",2021,62,7,4,4,48,"N35.458202","E129.450447"
"63","ULSAN",2021,63,7,4,4,48,"N35.459412","E129.411278"
"64","ULSAN",2021,64,7,4,5,19,"N35.436120","E129.454498"
"65","ULSAN",2021,65,7,4,5,48,"N35.459347","E129.433333"
"66","ULSAN",2021,66,7,4,5,17,"N35.408665","E129.448780"
"67","ULSAN",2021,67,7,4,2,25,"N35.444417","E129.427450"
"68","ULSAN",2021,68,7,4,5,19,"N35.416918","E129.455848"
"69","ULSAN",2021,69,7,4,5,33,"N35.457083","E129.449233"
"70","ULSAN",2021,70,8,9,14,26,"N35.398383","E129.456150"
"71","ULSAN",2021,71,8,9,15,25,"N35.431172","E129.416217"
"72","ULSAN",2021,72,8,17,14,54,"N35.453493","E129.439012"
"73","ULSAN",2021,73,8,17,14,58,"N35.447193","E129.449485"
"74","ULSAN",2021,74,8,17,15,3,"N35.446935","E129.442838"
"75","ULSAN",2021,75,8,21,10,29,"N35.453510","E129.421513"
"76","ULSAN",2021,76,8,21,10,31,"N35.462892","E129.440648"
"77","ULSAN",2021,77,8,21,10,52,"N35.459517","E129.415713"
"78","ULSAN",2021,78,8,21,10,49,"N35.446710","E129.432972"
"79","ULSAN",2021,79,8,21,6,7,"N35.449690","E129.458208"
"80","ULSAN",2021,80,8,21,15,27,"N35.449067","E129.442228"
"81","ULSAN",2021,81,8,21,18,0,"N35.443958","E129.422405"
"82","ULSAN",2021,82,8,21,19,12,"N35.461433","E129.431543"
"83","ULSAN",2021,83,8,21,15,31,"N35.437795","E129.449402"
"84","ULSAN",2021,84,8,21,15,32,"N35.426580","E129.441552"
"85","ULSAN",2021,85,8,21,16,30,"N35.433850","E129.467567"
"86","ULSAN",2021,86,8,21,17,50,"N35.442167","E129.464900"
"87","ULSAN",2021,87,8,21,10,10,"N35.396410","E129.447217"
"88","ULSAN",2021,88,8,21,10,9,"N35.407955","E129.466848"
"89","ULSAN",2021,89,8,21,15,4,"N35.410933","E129.436750"
"90","ULSAN",2021,90,8,21,16,11,"N35.417750","E129.450450"
"91","ULSAN",2021,91,10,11,23,35,"N35.442435","E129.441383"
"92","ULSAN",2021,92,10,11,23,45,"N35.446167","E129.428083"
"93","ULSAN",2021,93,10,12,2,10,"N35.419517","E129.441192"
"94","ULSAN",2021,94,10,12,5,17,"N35.422440","E129.466178"
"95","ULSAN",2021,95,10,12,10,22,"N35.456505","E129.425258"
"96","ULSAN",2021,96,10,22,21,56,"N35.437133","E129.462247"
"97","ULSAN",2021,97,11,30,10,3,"N35.464250","E129.431833"
"98","ULSAN",2021,98,11,30,13,10,"N35.436133","E129.467150"
"99","ULSAN",2021,99,11,30,13,38,"N35.406557","E129.451672"
"100","ULSAN",2021,100,11,30,13,20,"N35.453867","E129.456933"
"101","ULSAN",2021,101,11,30,13,37,"N35.429300","E129.425183"
"102","ULSAN",2021,102,11,30,13,29,"N35.450557","E129.442272"
"103","ULSAN",2021,103,11,30,13,26,"N35.453735","E129.419220"
"104","ULSAN",2021,104,11,30,13,34,"N35.445367","E129.413710"
"105","ULSAN",2021,105,11,30,13,59,"N35.416582","E129.452400"
"106","ULSAN",2021,106,11,30,13,27,"N35.459193","E129.434782"
"107","ULSAN",2021,107,12,7,15,28,"N35.424167","E129.437500"
"108","ULSAN",2022,108,1,16,0,19,"N35.444650","E129.431667"
"109","ULSAN",2022,109,1,16,0,49,"N35.425778","E129.448008"
"110","ULSAN",2022,110,1,16,1,29,"N35.423082","E129.437265"
"111","ULSAN",2022,111,1,16,1,27,"N35.403935","E129.453465"
"112","ULSAN",2022,112,1,19,14,34,"N35.428588","E129.458763"
"113","ULSAN",2022,113,1,23,20,57,"N35.429965","E129.439347"
"114","ULSAN",2022,114,1,24,0,30,"N35.392047","E129.439525"
"115","ULSAN",2022,115,1,24,3,58,"N35.438797","E129.413060"
"116","ULSAN",2022,116,1,24,4,43,"N35.421828","E129.441000"
"117","ULSAN",2022,117,1,24,4,43,"N35.445282","E129.411170"
"118","ULSAN",2022,118,1,24,4,48,"N35.429867","E129.463850"
"119","ULSAN",2022,119,1,24,4,53,"N35.454992","E129.439183"
"120","ULSAN",2022,120,1,24,5,24,"N35.443767","E129.436367"
"121","ULSAN",2022,121,1,24,5,36,"N35.421215","E129.431283"
"122","ULSAN",2022,122,1,24,5,44,"N35.444678","E129.452815"
"123","ULSAN",2022,123,1,24,6,18,"N35.444962","E129.418025"
"124","ULSAN",2022,124,1,24,6,43,"N35.446737","E129.425975"
"125","ULSAN",2022,125,2,13,13,59,"N35.436692","E129.438682"
"126","ULSAN",2022,126,2,20,10,29,"N35.436800","E129.453917"
"127","ULSAN",2022,127,3,4,14,52,"N35.448242","E129.450533"
"128","ULSAN",2022,128,3,4,16,26,"N35.432367","E129.472433"
"129","ULSAN",2022,129,3,4,17,16,"N35.420565","E129.430380"
"130","ULSAN",2022,130,3,18,2,49,"N35.434820","E129.448597"
"131","ULSAN",2022,131,3,18,3,17,"N35.424183","E129.439067"
"132","ULSAN",2022,132,3,18,3,53,"N35.456718","E129.422772"
"133","ULSAN",2022,133,3,18,6,3,"N35.432005","E129.414773"
"134","ULSAN",2022,134,3,18,6,15,"N35.457882","E129.429772"
"135","ULSAN",2022,135,3,26,7,17,"N35.453500","E129.428200"
"136","ULSAN",2022,136,3,26,7,48,"N35.460508","E129.431613"
"137","ULSAN",2022,137,3,26,7,9,"N35.433542","E129.420858"
"138","ULSAN",2022,138,3,26,7,23,"N35.432908","E129.462038"
"139","ULSAN",2022,139,3,26,7,22,"N35.438288","E129.470105"
"140","ULSAN",2022,140,3,26,7,16,"N35.403692","E129.449440"
"141","ULSAN",2022,141,3,26,7,31,"N35.408287","E129.468313"
"142","ULSAN",2022,142,3,26,7,12,"N35.453938","E129.455313"
"143","ULSAN",2022,143,4,13,10,44,"N35.415458","E129.449300"
"144","ULSAN",2022,144,4,13,10,43,"N35.454708","E129.443772"
"145","ULSAN",2022,145,4,13,11,44,"N35.422863","E129.435938"
"146","ULSAN",2022,146,4,13,13,31,"N35.438837","E129.461790"
"147","ULSAN",2022,147,4,13,12,49,"N35.404758","E129.456647"
"148","ULSAN",2022,148,4,14,5,8,"N35.446117","E129.426187"
"149","ULSAN",2022,149,4,29,6,47,"N35.419783","E129.419600"
"150","ULSAN",2022,150,4,29,6,42,"N35.424767","E129.454950"
"151","ULSAN",2022,151,4,29,13,24,"N35.410838","E129.432933"
"152","ULSAN",2022,152,4,29,13,27,"N35.431520","E129.448898"
"153","ULSAN",2022,153,4,29,14,16,"N35.408500","E129.423500"
"154","ULSAN",2022,154,5,7,16,42,"N35.428588","E129.466398"
"155","ULSAN",2022,155,5,7,16,40,"N35.403147","E129.431828"
"156","ULSAN",2022,156,5,18,18,17,"N35.452828","E129.432520"
"157","ULSAN",2022,157,6,6,21,39,"N35.437155","E129.458260"
"158","ULSAN",2022,158,6,23,18,0,"N35.432082","E129.444543"
